Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
12-11-2021,Detetive Madeinusa,"A bumbling new detective is hired by a billionaire lobbyist to investigate the theft of a prized ox. To unravel the peculiar case, he forms an unbeatable team with his assistant Uóston, the waitress and psychic Marcela, the detective accessories store clerk Larissa and the hacker Zuleide. Together, they embark on a fun investigation.",27.143,8,4.6,pt,Comedy,https://image.tmdb.org/t/p/original/57zz2DffLRTAwbIxomUkJnmXgxU.jpg
07-05-1991,Sometimes They Come Back,"Based on a short story by Stephen King, a man and his family return to his home town, but he is then harassed by teenagers that died when he was a kid.",27.134,162,5.9,en,"Horror, TV Movie",https://image.tmdb.org/t/p/original/ie6pvZ2X5qir4SfNKa07j2FY6sY.jpg
14-09-1995,Hackers,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",27.131,944,6.3,en,"Action, Crime, Thriller, Drama",https://image.tmdb.org/t/p/original/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg
24-07-2020,Dragons: Rescue Riders: Secrets of the Songwing,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell.",27.124,29,8,en,"Family, Animation",https://image.tmdb.org/t/p/original/7ECPZaRczTQiUgPtZzyOiHxlfbe.jpg
01-01-2006,Scooby-Doo! Pirates Ahoy!,Ghost pirates attack the cruise ship that Scooby and the gang are vacationing on.,27.122,202,7.7,en,"Fantasy, Animation, Comedy, Family, Mystery, Adventure",https://image.tmdb.org/t/p/original/6XWQK6mmDbKyrtzr4wJxa6rBfuM.jpg
30-09-2017,Ajin: Demi-Human,"Ajin is a live-action adaptation of a Japanese manga series written and illustrated by Gamon Sakurai. Kei Nagai dies in a car accident, but realises he is a type of immortal known as Ajin (demi-human). Hunted by humans, Ajin is eventually found by the government and used as a subject in cruel experiments. He finds fellow demi-humans along the way as he escapes and goes on the run.",27.12,75,7.6,ja,"Action, Horror, Mystery",https://image.tmdb.org/t/p/original/fINvKAGwJomcALdjB8DWmOC9ZQK.jpg
27-08-2020,The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",27.116,676,6.5,en,"Comedy, Family",https://image.tmdb.org/t/p/original/ltyARDw2EFXZ2H2ERnlEctXPioP.jpg
19-10-2022,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",27.11,0,0,en,"Action, Fantasy, Adventure",https://image.tmdb.org/t/p/original/eqGks2XhJSZoi4SaZdbVKv7jiUm.jpg
07-07-1989,Lethal Weapon 2,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",27.11,2673,7,en,"Action, Adventure, Comedy, Crime, Thriller",https://image.tmdb.org/t/p/original/1EEIUw0tkX7AJZ1ikZrtKZZKlC6.jpg
31-07-2013,Young Mother,"In the period of ninteen-year-old lust, repeater Jin-goo enjoys an erotic moment to himself while thinking about his pretty English tutor. Then one day, he is caught in the middle of an embarassing moment and become awkward with her. However, this becomes an opportunity and she starts teaching him sex. Their replationship becomes uncontrollable romance. However, she quits the tutoring and the relationship to get married.  Time goes and Jin-goo is a grown up. He's used to thoughtless sex. However, his partner of benefit gets pregnant so he meets his future-mother-in-law to talk about marriage. However, she's so beautiful and sexy. He moves in with the in-laws but soon breaks out of the marrige due to his wife's fling. The mother-in-law doesn't know how to make it up to him for what her daughter has done. Jin-goo suggests something dangerous...",27.109,10,5.5,ko,"Comedy, Romance",https://image.tmdb.org/t/p/original/x73C5Hi8FuxCWdmY67evoV9V7xi.jpg
